+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------+------+
|    id    |                                                                          title                                                                           | year |
+----------+----------------------------------------------------------------------------------------------------------------------------------------------------------+------+
| 139613   | O Silêncio                                                                                                                                               | 2012 |
| 144449   | Nema aviona za Zagreb                                                                                                                                    | 2012 |
| 249516   | Foodfight!                                                                                                                                               | 2012 |
| 285252   | Bachelor Trip                                                                                                                                            | 2012 |
| 293069   | Dark Blood                                                                                                                                               | 2012 |
| 306058   | Second Coming                                                                                                                                            | 2012 |
| 337692   | On the Road                                                                                                                                              | 2012 |
| 383010   | The Three Stooges                                                                                                                                        | 2012 |
| 401729   | John Carter                                                                                                                                              | 2012 |
| 404978   | Gambit                                                                                                                                                   | 2012 |
| 426566   | Pots and Pans                                                                                                                                            | 2012 |
| 431021   | The Possession                                                                                                                                           | 2012 |
| 433533   | Caleuche: El llamado del Mar                                                                                                                             | 2012 |
| 433787   | L'apocalisse delle scimmie                                                                                                                               | 2012 |
| 441506   | Stolen Memories                                                                                                                                          | 2012 |
| 443272   | Lincoln                                                                                                                                                  | 2012 |
| 452664   | Party Crashers                                                                                                                                           | 2012 |
| 454876   | Life of Pi                                                                                                                                               | 2012 |
| 455323   | Being Flynn                                                                                                                                              | 2012 |
| 460528   | One Step Beyond: The True Story of Géraldine Fasnacht                                                                                                    | 2012 |
| 460957   | Texxas Jam '78                                                                                                                                           | 2012 |
| 462036   | Steve Phoenix: The Untold Story                                                                                                                          | 2012 |
| 475239   | Clutch                                                                                                                                                   | 2012 |
| 475360   | Persona Au Gratin                                                                                                                                        | 2012 |
| 485521   | Sushi in Suhl                                                                                                                                            | 2012 |
| 485985   | Red Tails                                                                                                                                                | 2012 |
| 486622   | Making Change                                                                                                                                            | 2012 |
| 495024   | Bad Blood                                                                                                                                                | 2012 |
| 763831   | A Thousand Words                                                                                                                                         | 2012 |
| 765446   | Escape from Planet Earth                                                                                                                                 | 2012 |
| 787442   | The Attack                                                                                                                                               | 2012 |
| 790653   | Elliot Loves                                                                                                                                             | 2012 |
| 790724   | Jack Reacher                                                                                                                                             | 2012 |
| 790788   | The Yellow Wallpaper                                                                                                                                     | 2012 |
| 810772   | Belle Du Seigneur                                                                                                                                        | 2012 |
| 811137   | The Do-Deca-Pentathlon                                                                                                                                   | 2012 |
| 828135   | Wild in the Streets                                                                                                                                      | 2012 |
| 829176   | Gallowwalkers                                                                                                                                            | 2012 |
| 835418   | The Babymakers                                                                                                                                           | 2012 |
| 837562   | Hotel Transylvania                                                                                                                                       | 2012 |
| 841185   | Whatever Happened to Pete Blaggit?                                                                                                                       | 2012 |
| 848228   | The Avengers                                                                                                                                             | 2012 |
| 850677   | Jack & Diane                                                                                                                                             | 2012 |
| 851471   | Sir Billi                                                                                                                                                | 2012 |
| 852441   | Folie à deux                                                                                                                                             | 2012 |
| 857190   | The Sweeney                                                                                                                                              | 2012 |
| 860907   | Evangelion: 3.0 You Can (Not) Redo                                                                                                                       | 2012 |
| 865557   | Letting Go                                                                                                                                               | 2012 |
| 871891   | The Nightclub Days                                                                                                                                       | 2012 |
| 878814   | Jewtopia                                                                                                                                                 | 2012 |
| 903624   | The Hobbit: An Unexpected Journey                                                                                                                        | 2012 |
